aarp,whois.nic.aarp
samsung,whois.nic.xn--cg4bki
sandvik,whois.nic.sandvik
sandvikcoromant,whois.nic.sandvikcoromant
sanofi,whois.nic.sanofi
sap,whois.nic.sap
sarl,whois.nic.sarl
save,whois.nic.save
saxo,whois.aridnrs.net.au
sb,whois.nic.net.sb
sbi,whois.nic.sbi
sbs,whois.nic.sbs
sc,whois.afilias-grs.info
sca,whois.nic.sca
scb,whois.nic.scb
schaeffler,whois.afilias-srs.net
schmidt,whois.nic.schmidt
scholarships,whois.nic.scholarships
school,whois.nic.school
schule,whois.nic.schule
schwarz,whois.nic.schwarz
science,whois.nic.science
scjohnson,whois.nic.scjohnson
scor,whois.nic.scor
scot,whois.nic.scot
se,whois.iis.se
com.se,whois.centralnic.com
search,whois.nic.google
seat,whois.nic.seat
secure,whois.nic.secure
security,whois.nic.security
seek,whois.nic.seek
select,whois.nic.select
services,whois.nic.services
ses,whois.nic.ses
seven,whois.nic.seven
sew,whois.afilias-srs.net
sex,whois.afilias-srs.net
sexy,whois.uniregistry.net
sfr,whois.nic.sfr
sg,whois.sgnic.sg
sh,whois.nic.sh
shangrila,whois.nic.shangrila
sharp,whois.nic.gmo
shaw,whois.afilias-srs.net
shell,whois.nic.shell
shia,whois.nic.shia
shiksha,whois.afilias.net
shoes,whois.nic.shoes
shop,whois.nic.shop
shopping,whois.nic.shopping
shouji,whois.teleinfo.cn
show,whois.nic.show
showtime,whois.afilias-srs.net
shriram,whois.afilias-srs.net
si,whois.register.si
silk,whois.nic.silk
sina,whois.nic.sina
singles,whois.nic.singles
site,whois.nic.site
sk,whois.sk-nic.sk
ski,whois.afilias.net
skin,whois.nic.skin
sky,whois.nic.sky
sl,whois.nic.sl
sling,whois.nic.sling
sm,whois.nic.sm
smart,whois.nic.smart
smile,whois.nic.smile
sn,whois.nic.sn
sncf,whois-sncf.nic.fr
so,whois.nic.so
soccer,whois.nic.soccer
social,whois.nic.social
softbank,whois.nic.softbank
software,whois.nic.software
solar,whois.nic.solar
solutions,whois.nic.solutions
song,whois.nic.song
sony,whois.nic.sony
soy,whois.nic.google
space,whois.nic.space
sport,whois.nic.sport
spot,whois.nic.spot
spreadbetting,whois.nic.spreadbetting
srl,whois.afilias-srs.net
ss,whois.nic.ss
st,whois.nic.st
stada,whois.afilias-srs.net
star,whois.nic.star
statebank,whois.nic.statebank
stc,whois.nic.stc
stcgroup,whois.nic.stcgroup
stockholm,whois.afilias-srs.net
storage,whois.nic.storage
store,whois.nic.store
stream,whois.nic.stream
studio,whois.nic.studio
study,whois.nic.study
style,whois.nic.style
su,whois.tcinet.ru
sucks,whois.nic.sucks
supplies,whois.nic.supplies
supply,whois.nic.supply
support,whois.nic.support
surf,whois.nic.surf
surgery,whois.nic.surgery
swatch,whois.nic.swatch
swiss,whois.nic.swiss
sx,whois.sx
sy,whois.tld.sy
sydney,whois.nic.sydney
symantec,whois.nic.symantec
systems,whois.nic.systems
tab,whois.nic.tab
taipei,whois.nic.taipei
talk,whois.nic.talk
tatamotors,whois.nic.tatamotors
tatar,whois.nic.tatar
tattoo,whois.uniregistry.net
tax,whois.nic.tax
taxi,whois.nic.taxi
tc,whois.nic.tc
tci,whois.nic.tci
